osm_id,name,type
72664784,,
72664785,,
72664787,,
72664789,,
72664791,,
72674428,,
72674442,,
72674461,,
72674485,,
72674500,,
72674517,,
72674527,,
72674539,,
72674548,,
72674563,,
72674570,,parking
72674592,,
72676332,,
72676333,,
72676338,,
72676340,,
72676345,,
72676347,,
72676351,,
72676361,,
72676372,,
72676377,,
72676383,,
72676388,,
72676397,,
72676400,,
72676402,,
72677293,Moriah Bible Presbyterian Church,place_of_worship
72690360,,
72690379,,
72690393,,
72690403,,
72690413,,
72690424,,
72690433,,
72690452,,
72690471,,
72690495,,
72691190,,
72691210,,
72692444,,
72692465,,
72692477,,
72692507,,
72693685,,
72693712,,
72693727,,
72693740,,
72693775,,
72693794,,
72693815,,
72693843,,
72693861,,
72693875,,
72693920,,
72693939,Roman Catholic Church of The Holy Trinity,place_of_worship
72698311,,
72698320,,
72698336,,
72698343,,
72698361,,
72698368,,
72698393,,
72698402,,
72698409,,
72698428,,
72698436,,
72698456,,
72698479,,
72698505,,
72701484,,
72701497,,
72701511,,
72701533,,
72703017,,
72703032,,
72703042,,
72703054,,
72703064,,
72703074,,
72703084,,
72703095,,
72703107,,
72703119,,
72703131,,
72703146,,
72703170,,
72703184,,
72857520,,
75039394,,apartments
75039395,,apartments
75039396,,apartments
75039397,,apartments
75039399,,apartments
75039400,,apartments
75039401,,apartments
75039402,,apartments
75039403,,apartments
75039406,,apartments
75277142,Blk 319,
75277146,Blk 320,
75277149,Blk 376,
75277153,Blk 375,
75277172,Blk 317,
75277176,Blk 318,
75277179,Blk 316,
75277181,Blk 318,
75277192,Blk 331,residential
75277239,Blk 328,
75277251,Blk 327,
75277258,Blk 329,
75277300,Blk 324,
75277309,Blk 332,residential
75277314,Blk 333,residential
75277360,Blk 326,
75277362,Blk 325,
75383250,SMRT Ulu Pandan Depot,
75383252,,
75435095,,
75615361,,
75764459,233,
75764460,229,
75764461,227,
75764462,228,
75764463,225,
75764464,226,
75764465,224,
75764466,231,
75764467,230,
75764468,232,
75764471,217,
75764472,218,
75764474,219,
75764475,220,
75764476,214,
75764477,215,
75764478,222,
75764479,223,
75764480,221,
75764481,211,
75764483,205,
75764484,206,
75764485,216,
75764486,208,
75764487,213,
75764488,209,
75764489,212,
75764490,210,
75764491,201,
75764492,203,
75764493,204,
75764495,207,
75764496,202,
76103675,Simei,platform
76185166,,
76185167,,
76185168,,
76185170,,
76185171,,
76185172,,
76185173,,
76185174,,
76185176,,
76185178,,
76185179,,
76185180,,
76186383,,
76186411,,
76188000,,
76188002,,
76188003,,
76188006,,
76188007,,
76188008,,
76188012,,
76190987,,
76190991,,
76190998,,
76191008,,
76191016,,
76191025,,
76191034,,
76191035,,
76191039,,
76191041,,
76191055,,
76191064,,
76191073,,
76191084,,
76191088,,
76191091,,
76191095,,
76191100,,
76191102,,
76191115,,
76191118,,
76838235,Swimming Complex,
76838238,Blk 1,
76838256,Blk 31,school
76838260,Blk 27,
76841137,Blk 6,
76841138,Blk 8,
76841139,Blk 7,
76841140,Blk 5,
76841142,Blk 4,
77181572,Blk 357,residential
77182393,,Caltex Petrol Pu
77306380,Blk 35,
77306384,Convention Centre,school
77306389,Blk 34,
77306390,Blk 16,
77306391,Blk 23,school
77307714,Blk 50,
